Employee_ID,First_Name,Last_Name,Full_Name,Email,Phone,Gender,Age,Department,Job_Title,Location,Joining_Date,Years_Experience,Annual_Salary_INR,Performance_Rating,Is_Active
1788,Divya,Sharma,Divya Sharma,divya.sharma@gmail,+91-8439182043,Female,35,Marketing,Finance Analyst,Hyderabad,2022-08-02,7,1038870,High Performer,False
1198,Unknown,Unknown,Unknown,employee1@company.in,+91-6588097152,Male,28,Human Resources,HR Executive,Bangalore,2020-11-08,10,698735,Average,True
1475,Arjun,Mishra,Arjun Mishra,arjun.mishra@gmail.com,+91-9574631360,Female,29,Marketing,Not specified,hyderabad,2020-12-06,14,1721375,Poor,True
1730,Kiran,Verma,Kiran Verma,kiran.verma@company.in,+91-8378840328,Male,46,Human Resources,Finance Analyst,chennai,2000-01-01,18,1682403,Not Rated,True
1211,Pooja,Mishra,Pooja Mishra,pooja.mishra@yahoo.com,+91-9533895737,Unknown,49,Human Resources,HR Executive,Chennai,2020-05-19,25,586846,Excellent,False
1508,Kiran,Singh,Kiran Singh,kiran.singh@hotmail.com,+91-9584516131,Female,30,IT,Senior Analyst,Bombay,2021-06-26,1,1615875,Average,True
1495,Sneha,Pillai,Sneha Pillai,sneha.pillai@hotmail.com,+91-8122145416,Female,27,Finance,HR Executive,Pune,2020-12-10,22,947879,Excellent,False
1033,ravi,sharma,ravi sharma,ravi.sharma@hotmail.com,+91-7990510491,Unknown,40,Marketing,Data Engineer,Bombay,2019-08-18,19,369970,Average,True
1603,Ananya,Reddy,Ananya Reddy,ananya.reddy@yahoo.com,+91-9398262106,Male,23,IT,Manager,Mumbai,2018-08-26,24,575590,Excellent,True
1658,AAKASH,IYER,AAKASH IYER,aakash.iyer@yahoo.com,Unknown,Male,41,Marketing,BI Developer,chennai,2019-09-15,3,68680,Excellent,False
1690,meera,mehta,meera mehta,meera.mehta@yahoo.com,+91-8751163659,Unknown,54,Finance,Data Engineer,Mumbai,2000-01-01,21,1171373,Average,True
1739,Unknown,Unknown,Unknown,employee11@hotmail.com,+91-8029548895,Female,47,IT,Manager,Bengaluru,2022-05-17,29,577159,Excellent,True
1717,Ananya,Patel,Ananya Patel,ananya.patel@company.in,XXXXXXXXXX,Male,25,IT,Data Engineer,chennai,2019-12-03,24,1067258,Not Rated,True
1290,Swati,Mishra,Swati Mishra,swati.mishra@gmail.com,+91-8769334117,Female,37,IT,Finance Analyst,Bangalore,2000-01-01,1,871531,Average,True
1037,Kiran,Joshi,Kiran Joshi,kiran.joshi@company.in,+91-6512624365,Unknown,29,Human Resources,SQL Developer,Bengaluru,2022-11-03,4,838905,High Performer,True
1464,Unknown,Unknown,Unknown,employee15@outlook.com,+91-8117634585,Female,26,IT,SQL Developer,Chennai,2020-04-14,25,1310508,Good,False
1384,Meera,Joshi,Meera Joshi,meera.joshi@gmail.com,+91-6286580954,Unknown,22,Operations,BI Developer,Mumbai,2019-03-11,15,918956,Excellent,True
1176,Rahul,Iyer,Rahul Iyer,rahul.iyer@company.in,+91-7553745264,Female,42,Finance,SENIOR ANALYST,Bombay,2021-08-14,17,1010337,Not Rated,True
1724,Kiran,Sharma,Kiran Sharma,kiran.sharma@outlook.com,+91-8429124352,Female,58,IT,Sql Developer,Hyderabad,2021-12-06,24,1282162,Average,False
1247,Priya,Mehta,Priya Mehta,priya.mehta@hotmail.com,+91-7107721600,Male,56,Marketing,data analyst,Chennai,2018-04-20,28,595188,Not Rated,True
1387,Vikram,Patel,Vikram Patel,vikram.patel@hotmail.com,+91-8044579284,Female,52,Sales,SENIOR ANALYST,Chennai,2021-09-28,6,773148,Not Rated,False
1465,Vikram,Patel,Vikram Patel,vikram.patel@hotmail.com,+91-9514489277,Unknown,26,Marketing,data analyst,Bombay,2020-07-13,14,1714332,Average,True
1555,Divya,Sharma,Divya Sharma,divya.sharma@outlook.com,08470738735,Female,40,Human Resources,BI Developer,Hyderabad,2021-05-25,23,1468769,Excellent,False
1742,Arjun,Pillai,Arjun Pillai,arjun.pillai@company.in,+91-6627654163,Female,40,Human Resources,Data Analyst,Bombay,2020-11-05,28,1127482,Excellent,True
1082,Meera,Kumar,Meera Kumar,meera.kumar@company.in,+91-9772343920,Male,25,IT,HR Executive,Bangalore,2021-02-03,14,1027322,Average,True
1183,Swati,Kumar,Swati Kumar,swati.kumar@yahoo.com,+91-7534958893,Female,47,IT,Manager,Bengaluru,2022-07-04,17,1253755,Excellent,True
