Employee_ID,Full_Name,Email,Phone,Gender,Age,Department,Job_Title,Location,Joining_Date,Years_Experience,Annual_Salary_INR,Performance_Rating,Is_Active
1788,Divya Sharma,divya.sharma@gmail,+91-8439182043,f,35.0,MARKETING,Finance Analyst,Hyderabad,2022-08-02,7,1038870,High Performer,0
1198,,employee1@company.in,+91-6588097152,m,28.0,HR,HR Executive,Bangalore,11-08-2020,10,698735,average,TRUE
1475,Arjun Mishra,arjun.mishra@gmail.com,+91-9574631360,Female,29.0,Marketing,,hyderabad,12/06/2020,,1721375,Poor,1
1730,Kiran Verma,kiran.verma@company.in,+91-8378840328,Male,46.0,Human Resources,Finance Analyst,chennai,,18,1682403,,Yes
1211,  Pooja Mishra  ,pooja.mishra@yahoo.com,+91-9533895737,,49.0,HR,HR Executive,Chennai,05-19-2020,25,586846,excellent,FALSE
1508,Kiran Singh,kiran.singh@hotmail.com,+91-9584516131,FEMALE,30.0,Information Technology,Senior Analyst,Bombay,26-Jun-2021,1,1615875,Average,1
1495,Sneha Pillai,sneha.pillai@hotmail.com,+91-8122145416,f,27.0,Finance,HR Executive,Pune,"December 10, 2020",22,947879,5,N
1033,ravi sharma,ravi.sharma@hotmail.com,+91-7990510491,,40.0,Marketing,Data Engineer,Bombay,2019-08-18,19,369970,2,
1603,Ananya Reddy,ananya.reddy@yahoo.com,+91-9398262106,MALE,23.0,IT,Manager,Mumbai,26-Aug-2018,24,575590,excellent,yes
1658,AAKASH IYER,aakash.iyer@yahoo.com,,M,41.0,Marketing,BI Developer,chennai,2019-09-15,three years,68680 INR,excellent,N
1690,meera mehta,meera.mehta@yahoo.com,+91-8751163659,,54.0,finance,Data Engineer,Mumbai,,21,1171373,average,Y
1739,,employee11@hotmail.com,+91-8029548895,f,47.0,Information Technology,Manager,Bengaluru,17-May-2022,29,577159,EXCELLENT,1
1717,Ananya Patel,ananya.patel@company.in,XXXXXXXXXX,MALE,25.0,Information Technology,Data Engineer,chennai,"December 03, 2019",24,1067258,Not Rated,yes
1290,Swati Mishra,swati.mishra@gmail.com,+91-8769334117,FEMALE,37.0,Information Technology,Finance Analyst,Bangalore,,1,871531,Average,Y
1037,Kiran Joshi,kiran.joshi@company.in,+91-6512624365,Unknown,29.0,Human Resources,SQL Developer,Bengaluru,11-03-2022,4,838905,High Performer,yes
1464,,employee15@outlook.com,+91-8117634585,female,26.0,Information Technology,SQL Developer,Chennai,2020-04-14,25,1310508,GOOD,No
1384,Meera Joshi,meera.joshi@gmail.com,+91-6286580954,,22.0,Operations,BI Developer,Mumbai,11-Mar-2019,15,918956,5,
1176,Rahul Iyer,rahul.iyer@company.in,+91-7553745264,FEMALE,42.0,Finance,SENIOR ANALYST,Bombay,2021/08/14,17,1010337,Not Rated,1
1724,Kiran Sharma,kiran.sharma@outlook.com,+91-8429124352,f,58.0,Information Technology,Sql Developer,Hyderabad,12/06/2021,24,1282162,Avg,no
1247,Priya Mehta,priya.mehta@hotmail.com,+91-7107721600,M,56.0,MARKETING,data analyst,Chennai,20/04/2018,28,595188,Not Rated,1
1387,Vikram Patel,vikram.patel@hotmail.com,+91-8044579284,F,52.0,sales,SENIOR ANALYST,Chennai,2021/09/28,6,773148,N/A,N
1465,Vikram Patel,vikram.patel@hotmail.com,+91-9514489277,,26.0,MARKETING,data analyst,Bombay,2020-07-13,,1714332,average,Y
1555,  Divya Sharma  ,divya.sharma@outlook.com,08470738735,FEMALE,,Human Resources,BI Developer,Hyderabad,2021-05-25,23,1468769,Excellent,N
1742,Arjun Pillai,arjun.pillai@company.in,+91-6627654163,FEMALE,-5.0,HR,Data Analyst,Bombay,2020/11/05,28,1127482,excellent,Y
1082,Meera Kumar,meera.kumar@company.in,+91-9772343920,male,25.0,Information Technology,HR Executive,Bangalore,02/03/2021,,,Average,Yes
1183,Swati Kumar,swati.kumar@yahoo.com,+91-7534958893,FEMALE,47.0,Information Technology,Manager,Bengaluru,"July 04, 2022",17,1253755,5,Yes
1662,Ravi Mishra,ravi.mishra@hotmail.com,+91-7171110251,m,54.0,Information Technology,Data Analyst,hyderabad,08-09-2019,22,1710000,4,
1605,ananya sharma,ananya.sharma@hotmail.com,+91-8732660632,F,49.0,finance,BI Developer,Mumbai,2023-03-30,18,1099068,High Performer,TRUE
1732,Rahul Pillai,rahul.pillai@gmail.com,+91-7528941040,female,27.0,IT,Senior Analyst,Chennai,,11,1079036,EXCELLENT,Y
1546,Pooja Mishra,pooja.mishra@yahoo.com,,male,56.0,HR,,Pune,06-07-2019,14,60647 INR,good,Y
1460,Vikram Gupta,vikram.gupta@hotmail.com,+91-6329968072,M,39.0,Finance,SQL Developer,Bangalore,2020-04-05,26,1599283,5,
1762,Divya Kumar,divya.kumar@yahoo.com,+91-9291845202,,27.0,Finance,Senior Analyst,chennai,2022-04-20,27,1477356,High Performer,N
1563,Rahul Nair,rahul.nair@outlook.com,+91-9284315878,Unknown,35.0,sales,SENIOR ANALYST,Hyderabad,"November 16, 2022",2,1579435,GOOD,Y
1101,Priya Iyer,priya.iyer@gmail.com,765-6305130,male,31.0,Operations,,Bengaluru,,14,432575,High Performer,
1149,Priya Iyer,priya.iyer@company.in,+91-8997747622,MALE,47.0,finance,data analyst,Chennai,"July 03, 2018",8,1273639,4,FALSE
1131,Vikram Kumar,vikram.kumar@company.in,+91-6411601358,M,26.0,Fin,Data Analyst,Bombay,2018/10/25,14,933738,5,N
1403,Sneha Mishra,sneha.mishra@yahoo.com,+91-7510236617,male,49.0,Information Technology,Data Engineer,Bangalore,2021-04-01,,544687,EXCELLENT,yes
1350,Priya Kumar,priya.kumar@hotmail.com,+91-6055395069,F,37.0,OPERATIONS,Senior Analyst,Bombay,28-Jul-2021,12,378039,Avg,no
1664,Divya Reddy,divya.reddy@hotmail.com,848-7912120,Unknown,0.0,sales,data analyst,Hyderabad,2018/10/28,28,1333108,Avg,No
1564,Kiran Kumar,kiran.kumar@outlook.com,+91-6700204852,Male,29.0,it,Data Engineer,hyderabad,03/03/2021,,60775 INR,Excellent,No
1345,Neha Pillai,neha.pillai@hotmail.com,NA,MALE,25.0,Marketing,Finance Analyst,Bangalore,2019-08-26,24,584508,excellent,yes
1572,Sneha Kumar,sneha.kumar@hotmail.com,+91-9016204712,Other,33.0,Marketing,SQL Developer,Delhi,"May 01, 2022",10,1078067,Poor,no
1710,Meera Joshi,meera.joshi@gmail.com,+91-6489483401,M,30.0,HR,Data Engineer,Chennai,12-Mar-2021,21,1760632,2,yes
1495,Swati Mehta,,+91-9934323885,male,32.0,sales,SQL Developer,bangalore,05-07-2023,26,1178972,2,FALSE
1122,Arjun Singh,arjun.singh@yahoo.com,608-9044980,Male,44.0,OPERATIONS,HR Executive,Mumbai,29-Dec-2022,16,624058,3,Y
1578,Swati Joshi,swati.joshi@gmail.com,+91-7557220130,FEMALE,38.0,finance,Data Engineer,Mumbai,08-10-2018,24,1673470,,1
1777,Ravi Mishra,ravi.mishra@company.in,08566881372,MALE,30.0,Finance,SQL Developer,Bombay,15-Sep-2022,19,94139 INR,Good,0
1775,Arjun Sharma,arjun.sharma@yahoo.com,+91-6123521259,Unknown,39.0,sales,BI Developer,Bengaluru,08-26-2019,13,886657,N/A,FALSE
1488,Suresh Verma,suresh.verma@yahoo.com,+91-6509369768,m,29.0,sales,HR Executive,,2022-05-09,3,,Good,
1067,Meera Joshi,meera.joshigmail.com,+91-9679993305,female,23.0,IT,Data Engineer,Bangalore,2020-04-07,two,1229841,N/A,0
1177,Suresh Joshi,suresh.joshi@company.in,+91-8955140035,MALE,49.0,Operations,SQL Developer,Delhi,2020-04-15,,795164,4,No
1608,Vikram Sharma,vikram.sharma@company.in,+91-6538349165,male,26.0,Finance,data analyst,Delhi,,5,508361,Excellent,FALSE
1799,Swati Kumar,swati.kumar@gmail.com,+91-6337605742,,58.0,hr,Senior Analyst,hyderabad,2018-11-14,6,1070357,2,FALSE
1701,Aakash Iyer,aakash.iyer@gmail.com,+91-9277161790,F,53.0,MARKETING,BI Developer,hyderabad,04/08/2021,6,1652299,Good,TRUE
1450,Suresh Kumar,,+91-6333870589,female,45.0,hr,Senior Analyst,Bengaluru,2020-07-25,N/A,1134959,N/A,no
1443,  Arjun Verma  ,arjun.verma@company.in,,MALE,150.0,HR,SENIOR ANALYST,MUMBAI,2023-06-15,16,556187,5,no
1314,Ananya Iyer,ananya.iyer@hotmail.com,+91-6182608864,MALE,38.0,HR,Data Analyst,Bengaluru,,18,1253611,Not Rated,
1347,Priya Patel,priya.patel@gmail.com,+91-6140843630,MALE,58.0,finance,SENIOR ANALYST,Pune,23-Dec-2018,11,57801 INR,,Y
1016,Suresh Verma,suresh.verma@outlook.com,+91-8205376329,FEMALE,29.0,hr,Sql Developer,bangalore,26-Sep-2019,22,1552305,average,
1333,Arjun Singh,invalid-email,+91-8014693343,Unknown,54.0,Fin,,Bengaluru,30-Nov-2020,three years,406070,5,
1558,Meera Mehta,meera.mehta@hotmail.com,916185892639,FEMALE,,finance,SQL Developer,Chennai,2019/10/30,29,810800,Average,
1348,Pooja Mehta,pooja.mehta@yahoo.com,+91-9951791121,FEMALE,22.0,hr,Data Engineer,Bengaluru,24-Aug-2021,2,1484005,Average,yes
1287,Meera Pillai,meera.pillai@company.in,+91-8523735861,MALE,52.0,IT,data analyst,Mumbai,01-15-2023,20,1462257,Average,FALSE
1277,Priya Patel,priya.patel@yahoo.com,+91-6793631899,FEMALE,31.0,HR,Finance Analyst,Chennai,2021-09-08,N/A,752882,Not Rated,yes
